part,chapters,pdf_pages,scope,status
p01,1-10,1-904,"Introduction; Conventions; Théorie des ensembles; Catégories; Topologie; Faisceaux sur les espaces; Sites et faisceaux; Champs; Corps; Algèbre commutative",in_progress
p02,11-15,905-1594,"Groupes de Brauer; Algèbre homologique; Catégories dérivées; Méthodes simpliciales; Compléments d'algèbre",pending
p03,16-25,1595-2272,"Lissage; faisceaux de modules; cohomologie; algèbre différentielle graduée; hyperrecouvrements",pending
p04,26-33,2273-2930,"Schémas jusqu'aux variétés",pending
p05,34-38,2931-3569,"Topologies; descente; catégories dérivées de schémas; morphismes; platitude",pending
p06,39-49,3570-4214,"Groupoïdes; morphismes étales; cycles; intersections; Picard; Weil; dualité; discriminants",pending
p07,50-59,4215-5002,"de Rham; cohomologie locale; géométrie formelle; courbes; résolution; groupes fondamentaux; cohomologie étale",pending
p08,60-68,5003-5535,"Cohomologie cristalline et pro-étale; cycles relatifs; trace; espaces algébriques",pending
p09,69-79,5536-6083,"Cohomologie; limites; diviseurs; descente; méthodes dérivées; platitude et groupoïdes pour les espaces",pending
p10,80-90,6084-6594,"Bootstrap; sommes amalgamées; géométrie; déformations formelles",pending
p11,91-101,6595-7129,"Déformations; complexe cotangent; champs algébriques jusqu'aux morphismes",pending
p12,"102-116 + index",7130-7654,"Suite de la théorie des champs; modules; exemples; exercices; guide; licence; index",pending
